id,propertyType,forSale,price,location,preciseLocation,squareFootage,propertySquareFootage,yearOfBuilding,floor,totalFloors,inRegistry,heating,numberOfRooms,numberOfToilets,parking,hasElevator,hasTerrace
45414,1,1,74700,"Novi Sad","Gradske lokacije",49,NULL,2020,0,4,NULL,"centralno grejanje",2,NULL,NULL,1,1
49730,1,1,74600,"Novi Sad","Gradske lokacije",51,NULL,2020,0,3,NULL,"grejanje na gas",2.5,NULL,NULL,1,1
49500,1,1,74450,"Novi Sad","Gradske lokacije",51,NULL,2020,0,4,NULL,"grejanje na gas",3,NULL,NULL,1,1
49653,1,1,74400,"Novi Sad","Gradske lokacije",60,NULL,2020,2,2,NULL,NULL,3,NULL,1,NULL,1
23665,1,1,74300,"Novi Sad","Gradske lokacije",57,NULL,2020,1,3,NULL,"etazno grejanje",2.5,NULL,NULL,1,1
14665,1,1,74200,"Novi Sad","Gradske lokacije",55,NULL,2020,2,3,NULL,NULL,3,NULL,1,1,1
49571,1,1,74200,"Novi Sad","Gradske lokacije",55,NULL,2020,2,3,NULL,NULL,3,NULL,1,1,1
49668,1,1,74200,"Novi Sad","Gradske lokacije",55,NULL,2020,1,3,NULL,NULL,3,NULL,1,1,1
49670,1,1,74200,"Novi Sad","Gradske lokacije",55,NULL,2020,1,3,NULL,NULL,3,NULL,1,1,1
54905,1,1,74200,"Novi Sad","Gradske lokacije",60,NULL,2020,0,2,NULL,"grejanje na gas",3,NULL,1,NULL,NULL
26594,1,1,74160,"Novi Sad","Gradske lokacije",52,NULL,2020,0,2,0,"grejanje na gas",3,NULL,NULL,NULL,NULL
23970,1,1,74100,"Novi Sad","Gradske lokacije",44,NULL,2020,6,6,NULL,"centralno grejanje",1,NULL,NULL,1,1
23975,1,1,74100,"Novi Sad","Gradske lokacije",44,NULL,2020,6,7,NULL,"centralno grejanje",1,NULL,NULL,1,1
47397,1,1,74100,"Novi Sad","Gradske lokacije",44,NULL,2020,5,5,1,NULL,2,NULL,NULL,1,1
42885,1,1,74050,"Novi Sad","Gradske lokacije",42,NULL,2020,1,4,NULL,"grejanje na gas",1.5,NULL,NULL,1,1
